id,lat,lng,provider
305,49.8457986,12.7657607,seznam
306,49.0827228,17.332722,seznam
307,49.0760466,17.4447255,seznam
308,49.0753163,17.4548345,seznam
309,49.0735504,17.4214737,seznam
310,49.2120082,17.5308215,seznam
311,49.2016277,17.5526064,seznam
312,49.0953166,17.4224833,seznam
313,49.0872716,17.4967528,seznam
314,49.0618883,17.4664883,seznam
315,49.0584314,17.4665189,seznam
316,49.0810512,17.4403012,seznam
317,49.0705541,17.462244,seznam
318,49.2138847,17.544402,seznam
319,49.0764747,17.4285786,seznam
320,49.2032766,17.5370136,seznam
321,49.2080135,17.5361427,seznam
322,49.2085894,17.5187573,seznam
323,49.2905982,17.4009176,seznam
324,49.2043748,17.5637157,seznam
325,49.29095,17.487673,seznam
326,49.2966507,17.390263,seznam
327,49.2075245,17.5953522,seznam
328,49.2127096,17.5956673,seznam
329,49.2167242,17.5398115,seznam
330,49.1995078,17.5372049,seznam
331,49.198684,17.5325676,seznam
332,49.1993875,17.5283004,seznam
333,49.2288216,17.3221977,seznam
334,49.292615,17.3914234,seznam
335,49.2988708,17.3988708,seznam
336,49.2979666,17.3717309,seznam
337,49.279339,17.3873213,seznam
338,49.3020983,17.4004662,seznam
339,49.2922906,17.378665,seznam
340,49.0499288,17.46647,seznam
341,49.2978934,17.4031527,seznam
342,49.1054067,17.3940931,seznam
343,49.0723969,17.4549303,seznam
344,49.0658443,17.4665892,seznam
345,49.0995409,17.4149752,seznam
346,49.0692561,17.4748356,seznam
347,49.0668922,17.4485633,seznam
348,49.0753089,17.4382578,seznam
349,49.0745172,17.4329538,seznam
350,49.0824633,17.4328267,seznam
351,49.0761015,17.4234518,seznam
352,49.2146243,17.5134804,seznam
353,49.2159889,17.5060849,seznam
354,49.2112465,17.6102382,seznam
355,49.2096832,17.5992256,seznam
356,49.0851598,17.4941441,seznam
357,49.0820678,17.4892584,seznam
358,49.1739888,17.5137989,seznam
359,49.1611144,17.5157424,seznam
360,49.0636507,17.4715353,seznam
361,49.1027419,17.3933825,seznam
362,49.0737152,17.4151758,seznam
363,49.0758896,17.4488591,seznam
364,49.0691298,17.4667061,seznam
365,49.0682352,17.4594846,seznam
366,49.0779837,17.4531835,seznam
367,49.0819393,17.4525621,seznam
368,49.1804086,17.5200649,seznam
369,49.1774069,17.5178354,seznam
370,49.1704243,17.5117214,seznam
371,49.0989243,17.5473296,seznam
372,49.0967036,17.5350974,seznam
373,49.2047528,17.5714211,seznam
374,49.2027614,17.5835714,seznam
375,49.2075301,17.5848704,seznam
376,49.2089973,17.5916968,seznam
377,49.0786378,17.48531,seznam
378,49.0759343,17.4830564,seznam
379,49.0619296,17.4827208,seznam
380,49.0651094,17.4569617,seznam
381,49.0656827,17.4612068,seznam
382,49.0599595,17.4788535,seznam
383,49.1700714,17.5070024,seznam
384,49.2062368,17.5904119,seznam
385,49.0666451,17.4791974,seznam
386,49.0799717,17.4447937,seznam
387,49.2062081,17.5782967,seznam
388,49.1031049,17.4033462,seznam
389,49.1092432,17.4044811,seznam
390,49.1088766,17.3903686,seznam
391,49.1377351,17.3605971,seznam
392,49.1378684,17.3515543,seznam
393,49.1399314,17.3439976,seznam
394,49.1433081,17.3392934,seznam
395,49.2091878,17.5234736,seznam
396,49.2024792,17.5322394,seznam
397,49.2009598,17.4880915,seznam
398,49.1913511,17.4981077,seznam
399,49.0823955,17.5380884,seznam
400,49.1215925,17.4748972,seznam
401,49.1547672,17.5268193,seznam
402,49.0886855,17.5007652,seznam
403,49.0723658,17.4796089,seznam
404,49.2939829,17.4182828,seznam
405,49.2914067,17.4238289,seznam
406,49.2893355,17.426953,seznam
407,49.305185,17.4032926,seznam
408,49.3002633,17.4088956,seznam
409,49.2989171,17.4169591,seznam
410,49.296271,17.3955972,seznam
411,49.2873324,17.3892609,seznam
412,49.2001848,17.5461656,seznam
413,49.0738491,17.3915166,seznam
414,49.0725971,17.3798544,seznam
415,49.2234939,17.5134158,seznam
416,49.0591644,17.4838785,seznam
417,49.210306,17.6054005,seznam
418,49.1727597,17.4716653,seznam
419,49.0717329,17.4712919,seznam
420,49.2164807,17.5891993,seznam
421,49.1942173,17.6033873,seznam
422,49.1964365,17.4971815,seznam
423,49.2036889,17.595009,seznam
424,49.1821801,17.6079166,seznam
425,49.1216616,17.5803099,seznam
426,49.1767461,17.5837526,seznam
427,49.1693662,17.6027888,seznam
428,49.1212124,17.5850903,seznam
429,49.1401117,17.6051148,seznam
430,49.192388,17.5302086,seznam
431,49.1107969,17.3477006,seznam
432,49.1312329,17.5928298,seznam
433,49.1500435,17.5700166,seznam
434,49.1540692,17.5682587,seznam
435,49.1384929,17.5294114,seznam
436,49.1819023,17.5616201,seznam
437,49.1800135,17.557324,seznam
438,49.1670104,17.5484149,seznam
439,49.0419852,17.4674306,seznam
440,49.0400903,17.46421,seznam
441,49.2688167,17.3761281,seznam
442,49.2963729,17.4073372,seznam
443,49.2924675,17.4048272,seznam
444,49.2906285,17.3956514,seznam
445,49.0429172,17.4571456,seznam
446,49.0466301,17.4523629,seznam
447,49.046794,17.4356511,seznam
448,49.2339068,17.5894503,seznam
449,49.2259619,17.5818165,seznam
450,49.221352,17.5867358,seznam
451,49.2502094,17.5715432,seznam
452,49.2278193,17.3183198,seznam
453,49.2322511,17.5129735,seznam
454,49.1863966,17.5211026,seznam
455,49.2196909,17.5144861,seznam
456,49.2118711,17.5172145,seznam
457,49.1310473,17.4363978,seznam
458,49.1983205,17.3715694,seznam
459,49.2535216,17.4957784,seznam
460,49.2696089,17.432421,seznam
461,49.2404214,17.5688752,seznam
462,49.098628,17.5587156,seznam
463,49.1494798,17.4482598,seznam
464,49.157895,17.4448171,seznam
465,49.1741452,17.2603696,seznam
466,49.0847053,17.3364754,seznam
467,49.1350675,17.5101523,seznam
468,49.1547123,17.3869012,seznam
469,49.2034878,17.5455372,seznam
470,49.2974714,17.3855047,seznam
471,49.1271199,17.4404597,seznam
472,49.1364663,17.4326602,seznam
473,49.260327,17.2666024,seznam
474,49.2185332,17.5761222,seznam
475,49.0862504,17.4487019,seznam
476,49.2484298,17.4998599,seznam
477,49.1780525,17.5358093,seznam
478,49.0521767,17.4789684,seznam
479,49.0474166,17.4970593,seznam
480,49.0509501,17.4848995,seznam
481,49.0410259,17.4715095,seznam
482,49.0638557,17.4868628,seznam
483,49.0858723,17.5026208,seznam
484,49.0666665,17.4437047,seznam
485,49.0645341,17.4523374,seznam
486,49.1736207,17.2671524,seznam
487,49.2419205,17.4729929,seznam
488,49.0986902,17.5171002,seznam
489,49.0676077,17.4553112,seznam
490,49.1821083,17.3471811,seznam
491,49.2302256,17.2692279,seznam
492,49.0682307,17.4018966,seznam
493,49.0657981,17.4084168,seznam
494,49.1643024,17.2442134,seznam
495,49.1602739,17.4650887,seznam
496,49.0752426,17.3619228,seznam
497,49.0937816,17.3545427,seznam
498,49.1057773,17.3442766,seznam
499,49.0657816,17.4743996,seznam
500,49.1223181,17.250181,seznam
501,49.1155593,17.2492239,seznam
502,49.0555596,17.467927,seznam
503,49.2728384,17.5497613,seznam
504,49.0470343,17.4675992,seznam
505,49.2419088,17.3435071,seznam
506,49.1889033,17.2864624,seznam
507,49.1412551,17.4982263,seznam
508,49.2289484,17.5155551,seznam
509,49.1972049,17.5431684,seznam
510,49.1597818,17.3808763,seznam
511,49.1220078,17.4523351,seznam
512,49.1490411,17.6073272,seznam
513,49.1107377,17.4329069,seznam
514,49.1150163,17.4281372,seznam
515,49.0860716,17.5363292,seznam
516,49.1531429,17.2284434,seznam
517,49.1928536,17.5416263,seznam
518,49.2240522,17.5220579,seznam
519,49.0614765,17.3494633,seznam
520,49.0641843,17.3516437,seznam
521,49.300325,17.386183,seznam
522,49.3032543,17.3832566,seznam
523,49.301248,17.3789283,seznam
524,49.2059325,17.252107,seznam
525,49.1251691,17.2594213,seznam
526,49.1290661,17.2775158,seznam
527,49.1254698,17.2783156,seznam
528,49.1328749,17.2798912,seznam
529,49.111541,17.246941,seznam
530,49.1498756,17.236353,seznam
531,49.205989,17.2365607,seznam
532,49.1168331,17.5757995,seznam
533,49.2265343,17.423347,seznam
534,49.2274087,17.4156902,seznam
535,49.2316399,17.429765,seznam
536,49.2307741,17.4339113,seznam
537,49.1990695,17.5970423,seznam
538,49.2600939,17.5687225,seznam
539,49.2559389,17.5645128,seznam
540,49.2369545,17.5701132,seznam
541,49.2436007,17.5684175,seznam
542,49.2908081,17.3841476,seznam
543,49.2179954,17.6073432,seznam
544,49.276218,17.393467,seznam
545,49.2822136,17.3871168,seznam
546,49.2937883,17.3821212,seznam
