id,lat,lng,provider
75,60.00077,30.2988966,yandex
76,59.9992241,30.2826075,yandex
77,60.0047054,30.2573289,yandex
78,60.0083423,30.2481885,yandex
79,60.0025951,30.2452239,yandex
80,59.9979097,30.2339664,yandex
81,60.0473858,30.3611526,yandex
82,60.0447489,30.3741239,yandex
83,60.0411447,30.3918327,yandex
84,60.039753,30.3986438,yandex
85,60.0371755,30.4113334,yandex
86,60.0382959,30.4058223,yandex
87,60.0353493,30.4203388,yandex
88,60.0329731,30.4320767,yandex
89,60.0221311,30.4315199,yandex
90,60.0040567,30.4358998,yandex
91,59.9499606,30.2477866,yandex
92,59.959323,30.2959779,yandex
93,59.9614891,30.2918395,yandex
94,59.956328,30.2936994,yandex
95,59.9469965,30.2741214,yandex
96,59.9444154,30.2377463,yandex
97,59.9482557,30.2319385,yandex
98,59.9334929,30.2393463,yandex
99,59.9295016,30.258939,yandex
100,59.9261121,30.2557522,yandex
101,59.9270701,30.3170533,yandex
102,59.9146567,30.3223002,yandex
103,59.9211918,30.3546045,yandex
104,59.9137441,30.3596966,yandex
105,59.9250432,30.3450724,yandex
106,59.936492,30.3677702,yandex
107,59.9375998,30.3339649,yandex
108,59.9427124,30.3453339,yandex
109,59.9422893,30.3817407,yandex
110,59.942356,30.3636716,yandex
111,59.9424849,30.3554043,yandex
112,59.9394588,30.3885872,yandex
113,59.9545051,30.3610695,yandex
114,60.0033705,30.2942862,yandex
115,60.0084218,30.2830777,yandex
116,60.0038426,30.3284943,yandex
117,60.02729,30.3874868,yandex
118,60.0308838,30.3913583,yandex
119,60.0340661,30.3940099,yandex
120,60.0152245,30.2938713,yandex
121,59.9495185,30.3067791,yandex
122,59.9662639,30.4841877,yandex
123,60.039888,30.3470579,yandex
124,60.0313928,30.3443245,yandex
125,60.0393353,30.3320972,yandex
126,59.9493599,30.216079,yandex
127,59.9115595,30.3072565,yandex
128,59.9133188,30.2775103,yandex
129,59.9129446,30.2669783,yandex
130,59.9094833,30.2644135,yandex
131,59.96178,30.3055724,yandex
132,59.964547,30.3100667,yandex
133,59.9591888,30.3122409,yandex
134,59.9888939,30.2029924,yandex
135,59.8856888,30.3443391,yandex
136,59.8893534,30.3803357,yandex
137,59.8990323,30.419037,yandex
138,59.8963685,30.4235475,yandex
139,59.9266904,30.3320969,yandex
140,59.924947,30.3727038,yandex
141,59.9307885,30.3831882,yandex
142,60.0453003,30.4488318,yandex
143,59.9625278,30.3792265,yandex
144,59.9677623,30.3840916,yandex
145,59.8947412,30.4367576,yandex
146,59.9463964,30.5433387,yandex
147,59.9395595,30.5015443,yandex
148,59.9405086,30.4892372,yandex
149,60.057928,30.3838733,yandex
150,60.0264509,30.4492538,yandex
151,60.0187195,30.4581629,yandex
152,59.9249028,30.4163833,yandex
153,59.9226406,30.4194602,yandex
154,60.0122561,30.2342898,yandex
155,59.970624,30.2754262,yandex
156,59.9164849,30.3450409,yandex
157,59.9498236,30.409853,yandex
158,59.9683644,30.437214,yandex
159,59.9741121,30.4362179,yandex
160,59.977615,30.4378861,yandex
161,59.9936257,30.4255011,yandex
162,59.996146,30.3808474,yandex
163,59.9712614,30.3018603,yandex
164,60.0424212,30.3346004,yandex
165,60.1114677,30.2632275,yandex
166,59.8947845,30.2753237,yandex
167,59.8995869,30.2872178,yandex
168,59.9085546,30.2939837,yandex
169,59.9967554,30.2443253,yandex
170,60.0074553,30.2362399,yandex
171,60.0487867,30.3542644,yandex
172,59.9108968,30.3407726,yandex
